CustomerID,Recency,Frequency,Monetary,Cluster
12601,190,5,577.0600000000001,2
12602,59,1,153.12,1
12603,22,1,739.1999999999999,2
12604,79,2,254.18,1
12607,60,1,1579.51,2
12609,78,3,1126.85,2
12610,23,5,2099.54,2
12611,52,1,1193.32,2
12612,74,1,704.0400000000001,1
12613,57,5,3344.38,2
12614,278,1,315.6,1
12615,2,4,2291.19,0
12616,95,2,713.3,1
12617,29,1,355.53,1
12618,22,1,177.31,1
12619,16,9,3641.24,0
12620,15,3,1339.41,2
12621,2,20,13689.67,0
12622,232,1,180.1,1
12623,276,1,305.1,1
12624,106,2,641.13,1
12625,212,2,2683.82,2
12626,23,9,6620.48,0
12627,11,7,4478.53,0
12628,4,3,786.46,2
12630,10,2,1270.88,2
12631,57,1,640.5,1
12633,59,4,2163.98,2
12635,90,2,1689.18,2
12637,67,8,6021.9,0
12638,33,1,671.69,2
12639,239,1,486.1,1
12640,24,3,1174.58,2
12641,115,1,185.9,1
12642,25,3,1013.26,2
12643,128,6,3344.64,2
12644,130,1,477.91,1
12645,34,4,1775.18,2
12646,5,2,1346.97,2
12647,22,12,3722.82,0
12648,155,1,318.05,1
12649,107,3,623.51,2
12650,3,1,314.44,2
12651,335,1,114.0,1
12652,331,1,919.98,1
12653,149,2,2209.85,2
12654,11,5,601.98,2
12656,17,5,4051.17,0
12657,11,4,1643.18,2
12658,19,1,686.05,2
12659,30,1,91.68,1
12660,11,1,245.1,2
12662,1,11,3849.78,0
12664,8,9,4881.88,0
12665,325,1,63.0,1
12667,58,1,620.13,1
12668,12,4,3807.15,0
12669,151,3,2744.0299999999997,2
12670,10,5,2996.05,0
12672,330,1,225.89999999999998,1
12673,5,2,610.52,2
12674,39,4,1970.6,2
12676,25,6,1331.39,2
12678,42,12,17628.46,0
12679,59,4,1113.02,2
12680,1,4,862.81,2
12681,15,22,13787.54,0
12682,4,31,12288.22,0
12683,4,15,8476.57,0
12684,8,7,2283.63,0
12685,28,6,2863.08,0
12686,372,1,89.14,1
12688,114,1,4873.8099999999995,2
12689,26,2,1247.61,2
12690,206,1,389.01,1
12691,28,6,1035.8,2
12693,127,4,855.91,2
12694,70,2,869.67,2
12695,7,4,582.1,2
12697,29,3,957.59,2
12700,8,4,4939.99,0
12701,80,2,797.71,2
12702,20,1,219.0,1
12703,71,1,283.55,1
12704,7,8,2340.84,0
12705,15,9,6868.29,0
12707,292,1,603.42,1
12708,30,10,2712.91,0
12709,15,15,9736.52,0
12710,97,3,1149.02,2
12712,29,13,4396.13,0
12713,1,1,848.55,2
12714,9,5,4708.86,0
12715,106,1,353.86,1
12716,4,2,1053.49,2
12717,151,2,1030.98,1
12718,71,1,238.25,1
12719,5,2,644.95,2
12720,3,25,5781.73,0
12721,32,6,2656.13,2
12722,85,4,997.63,2
12723,4,5,725.07,2
12724,5,4,1031.41,2
12725,371,1,427.8,1
12726,28,7,2609.1,0
12727,11,7,3980.7,0
12728,71,4,836.33,2
12729,114,1,453.01,1
12731,24,12,18895.91,0
12732,180,1,236.26000000000002,1
12733,234,1,383.95,1
12734,353,1,110.39999999999999,1
12735,315,2,779.5699999999999,1
12736,333,1,234.0,1
12738,372,1,155.35,1
12739,78,2,1013.04,2
12740,64,1,427.6,1
12743,134,2,546.43,1
12744,52,7,21279.29,0
12747,2,11,4196.01,0
12748,1,209,33719.73,0
12749,4,5,4090.88,0
12750,129,1,275.88,1
12752,81,1,4366.78,2
12753,23,6,21429.39,0
12754,236,3,3010.74,2
12755,281,2,3811.95,2
12756,87,1,112.07999999999998,1
12757,16,13,7857.1,0
12758,117,2,2791.59,2
12759,52,3,1531.44,2
12762,8,2,1898.52,2
12763,138,2,494.08,1
12764,317,1,1693.88,1
12766,4,7,6989.63,0
12769,239,1,1143.6,1
12770,211,1,1351.45,1
12772,60,1,892.47,1
12775,17,5,1386.04,2
12778,20,6,822.23,2
12779,38,8,3981.36,0
12781,64,2,826.74,2
12782,5,5,2330.92,0
12783,2,6,2225.91,0
12784,9,2,574.42,2
12785,364,1,311.95,1
12787,10,3,463.66,2
12789,65,1,91.85,1
12790,192,1,324.92,1
12791,374,1,192.60000000000002,1
12792,257,1,400.53999999999996,1
12793,335,2,545.48,1
12794,53,2,860.41,2
12795,19,1,430.48,2
12797,366,1,254.03,1
12798,10,3,6977.04,0
12802,187,1,427.58,1
12808,37,3,483.65000000000003,2
12809,178,1,489.31,1
12811,261,3,514.85,1
12812,45,1,229.64000000000001,1
12814,102,1,125.92,1
12815,148,2,1063.46,1
12816,96,2,572.2,1
12817,281,1,166.04,1
12818,262,1,1542.08,1
12820,3,4,942.34,2
12821,214,1,92.72,1
12822,71,2,948.88,2
12823,75,5,1759.5,2
12824,60,1,397.12,1
12826,3,7,1474.72,0
12827,6,3,430.15000000000003,2
12828,3,6,1018.71,0
12829,337,2,293.0,1
12830,38,6,6814.64,0
12831,262,1,215.05,1
12832,32,2,383.03,2
12833,145,1,417.38,1
12834,283,1,312.38,1
12836,59,4,2612.86,2
12837,173,1,134.1,1
12838,34,2,683.13,2
12839,3,14,5591.42,0
12840,144,4,2726.77,2
12841,5,25,4022.35,0
12842,70,2,1118.99,2
12843,66,8,1702.26,2
12844,29,2,325.96000000000004,2
12845,267,4,354.09,1
12847,22,1,871.54,2
12849,31,2,1050.8899999999999,2
12851,97,1,135.18,1
12852,295,1,311.55,1
12853,135,6,1957.1000000000001,2
12854,79,3,1324.5,2
12855,373,1,38.1,1
12856,8,6,2179.93,0
12857,211,2,1106.4,1
12863,52,1,521.2,1
12864,138,1,147.12,1
12865,26,2,1568.23,2
12866,283,1,559.12,1
12867,26,7,4036.82,0
12868,186,6,1607.0600000000002,2
12871,84,2,380.64,1
12872,327,2,599.97,1
12873,282,1,374.0,1
12875,143,2,343.2300000000001,1
12876,58,2,2218.02,2
12877,4,12,1535.77,0
12878,236,2,854.99,1
12879,45,3,573.22,2
12881,276,1,298.0,1
12882,9,2,1463.04,2
12883,25,4,703.47,2
12884,88,1,309.05,1
12885,63,3,1175.22,2
12886,68,2,1378.4,2
12888,214,2,354.12,1
12890,24,1,380.46999999999997,1
12891,186,3,331.0,1
12893,31,1,188.14,1
12895,42,2,372.8,2
12897,205,2,216.5,1
12901,9,28,17654.54,0
12902,265,1,138.68,1
12904,18,2,509.58,2
12906,12,5,2919.81,0
12908,176,2,750.0,1
12909,40,5,2178.67,2
12910,23,8,3075.04,0
12912,3,5,1662.3,0
12913,5,5,2483.63,0
12915,149,2,363.65,1
12916,139,4,3006.15,2
12917,128,1,594.0,1
12919,8,6,1335.19,0
12920,17,1,164.23,1
12921,9,37,16587.09,0
12922,161,1,405.38,1
12923,64,1,176.97,1
12924,88,4,933.7,2
12925,5,2,694.05,2
12928,35,5,2062.7000000000003,2
12929,312,1,117.85,1
12930,78,2,415.8,1
12931,22,15,42055.96,0
12933,24,3,607.53,2
12935,2,7,2160.7,0
12936,17,4,1063.9,2
12937,15,4,1504.27,2
12938,26,1,114.14,1
12939,64,8,11581.8,0
12940,55,2,913.54,2
12942,131,3,683.9,1
12944,36,2,604.51,2
12945,288,1,462.95,1
12947,144,6,1603.99,2
12948,16,7,2064.95,0
12949,31,8,4167.22,0
12950,2,3,1843.0,2
12951,9,6,1064.07,2
12952,6,4,1387.79,2
12953,10,1,329.85,2
12955,1,11,4757.16,0
12956,306,1,108.07,1
12957,10,8,4017.54,0
12962,7,2,266.39,2
12963,8,8,1856.63,0
12965,89,1,771.91,1
12966,10,1,160.18,1
12967,358,2,1660.9,1
12968,112,1,135.95,1
12970,7,4,452.24,2
12971,4,86,11189.91,0
12974,198,1,144.8,1
12976,212,1,738.6,1
12977,156,1,39.239999999999995,1
12980,158,9,7374.900000000001,0
12981,30,2,372.21999999999997,2
12982,243,1,390.54,1
12984,19,1,97.5,1
12985,1,2,1239.38,2
12987,74,2,558.7,1
12988,292,1,535.32,1
12989,3,15,6924.110000000001,0
12990,31,3,409.5,2
12991,23,2,503.76,2
12993,23,4,414.76,2
12994,4,3,974.4200000000001,2
12995,85,1,211.32,1
12997,22,4,1226.89,2
12999,196,3,455.88,1
13000,107,3,534.85,1
13001,4,13,9818.82,0
13002,318,1,120.94999999999999,1
13003,106,3,149.05,1
13004,12,18,5655.91,0
13005,174,2,513.7,1
13006,56,1,81.57,1
13008,323,1,229.46999999999997,1
13011,372,1,50.550000000000004,1
13012,9,8,1661.8400000000001,0
13013,1,13,4810.9400000000005,0
13014,11,10,3466.2799999999997,0
13015,53,5,3346.28,2
13016,73,3,789.89,2
13017,7,1,204.0,2
13018,16,28,7277.7,0
13021,4,9,2616.38,0
13023,64,2,689.9,2
13026,1,5,975.36,0
13027,114,6,6912.0,0
13028,23,2,661.3199999999999,2
13029,31,3,1247.5,2
13030,11,2,799.48,2
13032,52,2,1010.18,2
13033,357,1,190.55,1
13034,55,2,642.77,2
13035,74,2,921.88,2
13037,138,3,881.07,2
13038,80,3,908.46,2
13040,9,2,676.99,2
13043,273,1,516.42,1
13044,291,1,560.47,1
13045,99,1,305.28000000000003,1
13046,31,2,629.31,2
13047,32,10,3237.54,0
13048,14,4,1835.91,2
13049,64,2,656.6800000000001,2
13050,15,17,5836.86,0
13052,212,1,348.15000000000003,1
13055,78,3,1214.41,2
13058,25,3,271.40000000000003,2
13059,250,1,183.4,1
13060,254,1,307.53,1
13061,72,1,248.61,1
13062,191,1,346.98,1
13064,13,4,1119.49,2
13065,373,1,205.86,1
13066,24,2,470.8,2
13067,82,1,115.46000000000001,1
13068,10,2,344.0,2
13069,1,24,4436.12,0
13070,192,1,228.8,1
13072,267,1,177.15,1
13075,130,1,919.61,1
13077,1,4,729.27,2
13078,3,26,12627.94,0
13079,4,5,220.10000000000002,2
13080,179,1,58.08,1
13081,12,11,28337.38,0
13082,126,9,3613.63,0
13083,4,2,303.75,2
13085,158,2,416.08000000000004,1
13089,3,97,58825.83,0
13090,9,14,8910.82,0
13091,28,1,345.82,1
13092,71,5,477.83,2
13093,276,8,7832.47,0
13094,21,12,1927.3200000000002,0
13095,71,1,74.39999999999999,1
13097,33,10,6010.42,0
13098,1,28,28882.44,0
13099,99,1,207.35999999999999,1
13101,234,1,101.19,1
13102,1,24,6424.09,0
13103,40,1,243.94,1
13104,3,6,1098.48,0
13106,133,1,76.5,1
13107,44,4,1531.6200000000001,2
13108,373,1,350.06,1
13109,60,2,786.54,2
13110,31,7,1488.67,2
13113,1,24,12245.960000000001,0
13115,12,4,2294.78,2
13116,138,1,501.14,1
13117,22,8,984.91,2
13118,20,5,1197.81,2
13120,239,1,30.599999999999998,1
13121,269,1,283.73,1
13122,94,2,922.39,2
13124,90,3,3866.33,2
13126,5,8,2099.64,0
13127,78,1,259.17,1
13130,94,1,64.0,1
13131,23,3,1073.3,2
13132,262,1,77.3,1
13133,274,2,109.8,1
13134,86,4,1793.58,2
13135,197,1,3096.0,1
13136,56,5,2607.61,2
13137,11,8,3650.41,0
13138,22,6,962.39,2
13139,16,7,5064.94,0
13140,108,3,423.72,1
13141,85,5,2388.75,2
13142,19,1,307.09,1
13144,333,1,110.95,1
13145,40,4,618.52,2
13146,26,1,228.91,1
13147,10,4,712.8000000000001,2
13148,29,12,3707.12,0
13149,14,4,1676.06,2
13151,296,1,1257.8700000000001,1
13153,6,1,486.22,2
13155,33,4,971.76,2
13157,49,4,1741.22,2
13158,95,4,1201.06,2
13159,9,4,1437.85,2
13160,22,1,91.8,1
13161,313,1,112.75,1
13162,122,4,1688.29,2
13165,46,2,1021.48,2
13166,283,1,417.2,1
13167,19,4,791.33,2
13168,36,4,1319.19,2
13169,64,2,712.88,2
13170,27,1,116.00999999999999,1
13171,22,3,468.41,2
13173,4,2,353.65,2
13174,16,3,2817.03,2
13176,46,1,492.84,1
13177,65,1,282.45,1
13178,26,11,5725.47,0
13182,45,1,121.18,1
13183,8,9,3957.78,0
13184,15,10,1701.29,0
13185,268,1,71.4,1
13186,40,3,1575.89,2
13187,337,1,236.02,1
13188,11,1,114.60000000000001,1
13189,19,2,260.68,2
13192,95,2,911.94,2
13193,61,1,117.88,1
13194,136,1,60.7,1
13196,11,4,1797.78,2
13198,10,6,3401.2400000000002,0
13199,4,38,9817.12,0
13200,19,4,870.09,2
13203,10,4,869.46,2
13207,15,2,250.26000000000002,2
13208,59,6,1223.9,2
13209,30,8,5891.61,0
13210,94,1,353.48,1
13211,10,3,1197.42,2
13212,20,3,788.08,2
13213,57,5,1520.58,2
13216,268,1,333.74,1
13217,122,3,533.98,1
13218,127,1,62.63999999999999,1
13220,78,4,819.2900000000001,2
13221,240,2,847.41,1
13223,200,2,163.20000000000002,1
13224,60,2,2155.95,2
13225,3,7,6463.84,0
13226,273,1,108.21000000000001,1
13227,202,1,257.7,1
13228,81,1,358.0,1
13229,226,1,160.95,1
13230,4,14,2806.97,0
13232,13,7,1357.6,0
13233,74,2,605.12,1
13235,212,1,1031.07,1
13236,25,2,744.85,2
13238,17,4,700.73,2
13239,262,1,329.56,1
13240,96,4,663.65,2
13242,112,3,270.40000000000003,1
13243,203,1,600.07,1
13244,93,1,121.74000000000001,1
13245,51,1,430.5,1
13246,18,6,1987.3,2
13247,18,4,501.12,2
13248,125,2,465.68,1
13249,92,3,711.41,2
13253,157,2,1030.4,1
13255,9,2,399.51,2
13258,12,3,698.58,2
13259,62,1,292.32,1
13260,61,1,557.62,1
13261,269,2,944.1,1
13262,263,1,200.29,1
13263,1,35,7454.07,0
13265,53,5,2107.66,2
13266,11,12,3834.2599999999998,0
13267,3,19,4521.49,0
13268,18,11,3214.69,0
13269,1,15,5346.2300000000005,0
13270,366,1,590.0,1
13271,37,1,217.38,1
13272,31,2,276.56,2
13273,113,1,138.98,1
13276,64,2,590.9300000000001,2
13277,16,4,258.4,2
13278,41,1,542.73,1
13279,78,1,137.75,1
13280,122,3,814.86,2
13282,18,3,1132.14,2
13283,60,2,93.66,1
13284,331,1,201.19,1
13285,23,4,2709.12,2
13291,156,1,361.11,1
13292,39,2,578.9399999999999,2
13294,190,2,873.74,1
13295,360,1,201.20000000000002,1
13296,137,1,87.4,1
13297,8,4,2089.85,2
13298,1,1,360.0,2
13299,268,1,142.5,1
13300,169,1,371.89,1
13301,104,4,618.09,2
13302,155,1,63.75,1
13304,351,1,300.42,1
13305,4,10,2000.86,0
13307,120,1,15.0,1
13308,23,3,1385.51,2
13309,7,5,1456.79,2
13310,28,3,1132.03,2
13311,4,2,598.57,2
13313,22,5,1555.32,2
13314,2,3,775.94,2
13316,37,4,5977.7300000000005,2
13317,66,6,2273.68,2
13318,1,3,640.76,2
13319,5,26,10845.550000000001,0
13320,78,4,1548.7,2
13321,72,2,567.36,1
13322,17,1,199.48000000000002,1
13323,3,5,787.85,2
13324,36,10,7121.95,0
13325,82,1,675.3,1
13327,39,8,3627.77,0
13328,316,1,1308.48,1
13329,32,2,789.0,2
13330,93,3,1140.93,2
13332,14,1,350.9,2
13334,82,3,3536.82,2
13336,77,1,795.12,1
13338,158,1,487.02,1
13339,201,1,860.12,1
13340,45,7,10736.48,0
13341,261,1,775.85,1
13343,178,1,353.43,1
13344,68,3,2543.72,2
13345,288,1,389.5,1
13347,70,1,341.36,1
13348,64,1,233.76,1
13349,11,1,247.32,2
13350,16,2,979.12,2
13351,66,1,373.94,1
13352,60,1,397.97999999999996,1
13354,71,1,743.53,1
13355,122,1,674.7,1
13356,80,1,768.24,1
13357,257,1,609.95,1
13358,269,1,439.03,1
13359,64,1,439.56,1
13362,9,4,3090.7400000000002,2
13363,18,2,992.5,2
13364,71,1,134.95999999999998,1
13365,34,2,2225.37,2
13366,50,1,56.160000000000004,1
13368,257,2,623.4,1
13369,366,1,308.28000000000003,1
13370,372,1,754.87,1
13372,90,1,378.64,1
13373,61,3,3312.25,2
13375,89,1,778.65,1
13376,99,3,1019.76,2
13379,26,3,572.56,2
13381,32,6,3639.31,0
13382,281,1,222.99,1
13384,31,7,4151.93,0
13385,330,1,534.57,1
13388,131,2,677.1,1
13389,11,3,797.96,2
13390,75,1,544.08,1
13391,204,1,59.8,1
13394,2,8,2520.02,0
13395,185,1,307.72,1
13396,29,2,1360.99,2
13397,73,5,1544.13,2
13398,192,1,457.34,1
13402,127,2,621.23,1
13403,18,1,75.0,1
13404,1,2,252.49,2
13405,74,3,572.451,2
13408,2,62,28117.04,0
13410,24,5,1003.06,2
13411,107,1,213.55,1
13414,134,3,1390.5,2
13416,44,2,712.5,2
13417,5,2,640.83,2
13418,12,18,6127.43,0
13419,64,1,221.06,1
13420,150,2,159.85,1
13421,40,2,1851.08,2
13422,64,1,2626.3,2
13425,108,3,1624.21,2
13426,1,10,3641.32,0
13427,19,3,582.6,2
13428,10,1,218.47,2
13429,11,4,1006.8,2
13430,19,2,679.45,2
13431,67,2,1269.1,2
13434,74,2,534.24,1
13435,5,7,3809.8900000000003,0
13436,2,1,196.89,2
13437,14,7,3408.06,0
13439,255,1,283.71,1
13441,92,1,296.64,1
13447,23,3,1129.14,2
13448,17,6,3539.37,0
13449,24,1,291.88,1
13450,27,6,2043.7199999999998,2
13451,26,5,2976.15,2
13452,259,2,590.0,1
13453,166,2,356.97999999999996,1
13455,25,2,1058.34,2
13456,18,6,1766.72,2
13458,7,14,9646.57,0
13460,29,2,183.44,1
13461,39,3,1445.0,2
13462,253,1,151.5,1
13464,58,1,674.68,1
13466,184,1,307.9,1
13467,11,2,1083.71,2
13468,2,37,5704.97,0
13470,99,2,165.0,1
13471,1,4,2531.58,0
13473,61,2,422.64,1
13474,236,1,229.59,1
13475,191,4,1431.78,2
13476,179,2,1238.47,1
13477,38,6,1454.58,2
13479,201,2,300.95,1
13481,46,5,1804.56,2
13482,232,1,184.64,1
13483,66,1,140.34,1
13484,241,1,313.8,1
13485,233,1,454.24,1
13486,78,3,1122.41,2
13487,58,3,575.4,2
13488,17,13,8968.31,0
13489,105,4,449.52,2
13491,52,10,1215.82,2
13492,136,3,1269.84,2
13493,275,2,618.63,1
13494,312,1,316.26000000000005,1
13495,8,5,2044.8700000000001,0
13496,11,2,653.33,2
13497,283,2,348.05,1
13499,18,5,1159.11,2
13500,23,3,1166.77,2
13501,288,1,1340.32,1
13502,17,3,292.0,2
13503,71,1,216.85,1
13504,64,1,295.93,1
13505,73,4,4393.63,2
13506,316,2,458.52,1
13507,3,4,2479.16,0
13508,244,1,110.97,1
13509,9,7,979.72,2
13510,1,4,1791.56,0
13512,261,1,251.21,1
13513,127,1,205.1,1
13514,74,1,152.20000000000002,1
13515,73,4,891.12,2
13516,21,3,1389.41,2
13517,60,3,2128.42,2
13518,86,1,659.4399999999999,1
13519,78,1,122.75,1
13520,59,6,3624.35,2
13521,1,3,1093.65,2
13522,30,1,125.80000000000001,1
13523,33,5,3964.88,2
13524,41,5,680.1800000000001,2
13525,15,2,628.78,2
13527,34,7,2287.51,0
13529,79,2,307.76,1
13531,205,2,483.8,1
13532,34,1,210.31,1
13533,183,3,270.79,1
13534,2,25,5870.08,0
13536,1,7,3448.29,0
13538,43,7,1280.85,2
13539,86,3,631.34,2
13544,40,2,291.41,1
13546,12,3,626.99,2
13548,96,2,682.41,1
13549,26,7,918.2,2
13551,319,1,91.80000000000001,1
13552,66,12,3740.07,0
13555,74,4,4149.28,2
13557,28,2,584.06,2
13558,6,4,605.06,2
13560,7,1,174.37,2
13561,216,1,141.85999999999999,1
13562,82,3,1799.33,2
13563,84,2,777.53,2
13564,144,3,1749.02,2
13565,19,2,240.22,2
13566,41,2,874.71,2
13568,173,1,192.85,1
13569,17,2,373.75,2
13570,243,1,239.49,1
13571,13,12,2092.32,0
13572,206,1,1384.25,1
13573,50,2,294.4,1
13575,23,5,732.0699999999999,2
13576,10,18,6717.34,0
13577,25,4,1687.6000000000001,2
13579,15,2,467.04,2
13581,309,1,118.0,1
13583,156,1,781.03,1
13584,307,1,142.4,1
13587,64,1,712.4,1
13588,16,9,2478.95,0
13589,15,2,379.65,2
13590,11,6,1981.92,0
13591,65,3,1117.13,2
13592,36,4,247.95999999999998,2
13593,108,5,2037.0800000000002,2
13594,53,1,396.97,1
13596,6,2,697.04,2
13598,47,1,180.17000000000002,1
13599,1,21,5153.67,0
13600,312,1,219.52,1
13601,45,2,693.32,2
13602,65,1,428.89,1
13603,26,1,164.34,1
13606,29,3,280.53999999999996,2
13607,40,1,678.01,2
13610,12,7,1131.88,2
13611,89,3,1171.8,2
13614,24,4,1610.46,2
13615,319,1,417.69,1
13617,40,3,544.18,2
13618,174,1,177.34,1
13621,117,1,213.85,1
13623,31,5,747.78,2
13626,253,1,257.23,1
13627,59,5,1638.47,2
13629,23,11,7792.36,0
13630,5,7,2031.78,0
13631,100,11,3070.42,0
13632,25,5,2121.27,2
13634,33,5,1575.16,2
13635,68,1,1071.03,1
13636,37,5,949.12,2
13637,52,3,810.5,2
13638,16,1,122.64,1
13639,74,1,1033.34,1
13642,216,1,354.8,1
13643,31,3,519.44,2
13644,16,4,2624.26,2
13645,120,1,252.1,1
13647,10,4,1678.1200000000001,2
13649,257,2,346.6,1
13650,17,6,1836.34,2
13651,35,2,94.2,1
13652,46,3,1095.08,2
13654,43,6,2707.33,2
13655,114,2,932.97,1
13656,165,2,379.65,1
13657,11,2,382.14,2
13658,10,5,2639.17,0
13659,206,2,1573.2,1
13662,86,3,897.76,2
13663,179,1,189.47,1
13666,60,3,84.65,1
13667,149,1,305.02,1
13668,3,21,6363.59,0
13669,51,2,218.55,1
13670,75,1,349.7,1
13672,301,2,186.39000000000001,1
13673,19,2,396.92,2
13675,151,2,486.82000000000005,1
13678,152,1,232.6,1
13680,1,4,3722.42,0
13681,18,4,827.83,2
13682,187,1,59.5,1
13684,286,1,67.23,1
13685,3,7,3119.44,0
13686,183,1,72.0,1
13689,63,1,910.0,1
13690,59,1,172.25,1
13692,25,3,1488.32,2
13694,4,50,65039.62,0
13695,31,15,2504.13,0
13697,39,1,151.29999999999998,1
13699,155,1,308.58000000000004,1
13700,26,10,2265.12,0
13703,318,1,99.5,1
